temp_index	temp	temp_over_lam1	q_rand	xi	m1_sq	m1w_sq	q_1	G_1	q_2	G_2	q_3	G_3	q_4	G_4	q_5	G_5	q_6	G_6	q_7	G_7	q_8	G_8	q_9	G_9	q_10	G_10	q_11	G_11	q_12	G_12
10	2.2	0.22000000000000003	0.015384615384615385	nan	0.0033512115478515625	0.2144775390625	0.028	0.012615384615384615	0.0146	-0.0007846153846153853	0.0145	-0.0008846153846153847	0.0153	-8.46153846153861e-05	0.017	0.0016153846153846158	0.0146	-0.0007846153846153853	0.016	0.0006153846153846149	0.0155	0.00011538461538461442	0.0139	-0.0014846153846153863	0.0161	0.0007153846153846143	0.0168	0.0014153846153846135	0.0162	0.0008153846153846137
11	2.15	0.215	0.015384615384615385	nan	0.0031290054321289062	0.20025634765625	0.024	0.008615384615384615	0.0157	0.0003153846153846132	0.0152	-0.0001846153846153855	0.0154	1.5384615384615025e-05	0.0142	-0.0011846153846153847	0.0162	0.0008153846153846137	0.0156	0.00021538461538461381	0.0162	0.0008153846153846137	0.0162	0.0008153846153846137	0.0171	0.0017153846153846151	0.015	-0.000384615384615386	0.0141	-0.0012846153846153858
12	2.1	0.21000000000000002	0.015384615384615385	nan	0.003173351287841797	0.203094482421875	0.0252	0.009815384615384615	0.0154	1.5384615384615025e-05	0.0152	-0.0001846153846153855	0.0156	0.00021538461538461381	0.0144	-0.0009846153846153859	0.0156	0.00021538461538461381	0.0155	0.00011538461538461442	0.0167	0.001315384615384614	0.0163	0.000915384615384613	0.0155	0.00011538461538461442	0.017	0.0016153846153846158	0.0151	-0.0002846153846153849
13	2.05	0.205	0.015384615384615385	nan	0.0033898353576660156	0.216949462890625	0.0301	0.014715384615384613	0.0162	0.0008153846153846137	0.0165	0.0011153846153846153	0.015	-0.000384615384615386	0.0145	-0.0008846153846153847	0.0163	0.000915384615384613	0.015	-0.000384615384615386	0.0155	0.00011538461538461442	0.0143	-0.0010846153846153853	0.0178	0.0024153846153846144	0.0164	0.001015384615384616	0.0167	0.001315384615384614
14	2.0	0.2	0.015384615384615385	nan	0.0033416748046875	0.2138671875	0.0236	0.008215384615384614	0.0148	-0.0005846153846153848	0.0144	-0.0009846153846153859	0.0151	-0.0002846153846153849	0.0152	-0.0001846153846153855	0.0162	0.0008153846153846137	0.0168	0.0014153846153846135	0.0151	-0.0002846153846153849	0.0141	-0.0012846153846153858	0.0161	0.0007153846153846143	0.0137	-0.001684615384615385	0.0179	0.0025153846153846138
15	1.9500000000000002	0.195	0.015384615384615385	nan	0.003197193145751953	0.204620361328125	0.0268	0.011415384615384615	0.0133	-0.002084615384615386	0.0179	0.0025153846153846138	0.0175	0.002115384615384616	0.0143	-0.0010846153846153853	0.0155	0.00011538461538461442	0.0164	0.001015384615384616	0.0161	0.0007153846153846143	0.0133	-0.002084615384615386	0.0143	-0.0010846153846153853	0.0176	0.0022153846153846156	0.0139	-0.0014846153846153863
16	1.9	0.19	0.015384615384615385	nan	0.0034818649291992188	0.22283935546875	0.0254	0.010015384615384613	0.0177	0.002315384615384615	0.016	0.0006153846153846149	0.0166	0.0012153846153846147	0.0151	-0.0002846153846153849	0.0164	0.001015384615384616	0.0128	-0.002584615384615385	0.0157	0.0003153846153846132	0.0138	-0.0015846153846153857	0.0108	-0.004584615384615385	0.0133	-0.002084615384615386	0.0146	-0.0007846153846153853
17	1.85	0.185	0.015384615384615385	nan	0.003242015838623047	0.207489013671875	0.0264	0.011015384615384614	0.0177	0.002315384615384615	0.0138	-0.0015846153846153857	0.0145	-0.0008846153846153847	0.0148	-0.0005846153846153848	0.0162	0.0008153846153846137	0.0147	-0.0006846153846153859	0.0129	-0.0024846153846153855	0.0146	-0.0007846153846153853	0.0154	1.5384615384615025e-05	0.016	0.0006153846153846149	0.0116	-0.0037846153846153863
18	1.7999999999999998	0.18	0.015384615384615385	nan	0.0032501220703125	0.2080078125	0.0256	0.010215384615384616	0.017	0.0016153846153846158	0.0162	0.0008153846153846137	0.0159	0.0005153846153846155	0.016	0.0006153846153846149	0.0168	0.0014153846153846135	0.0154	1.5384615384615025e-05	0.0138	-0.0015846153846153857	0.0146	-0.0007846153846153853	0.0146	-0.0007846153846153853	0.0163	0.000915384615384613	0.0174	0.0020153846153846133
19	1.75	0.175	0.015384615384615385	nan	0.0032715797424316406	0.209381103515625	0.0267	0.011315384615384616	0.0159	0.0005153846153846155	0.016	0.0006153846153846149	0.0141	-0.0012846153846153858	0.0165	0.0011153846153846153	0.0154	1.5384615384615025e-05	0.0171	0.0017153846153846151	0.0168	0.0014153846153846135	0.0146	-0.0007846153846153853	0.014	-0.0013846153846153852	0.0143	-0.0010846153846153853	0.0189	0.0035153846153846147
